Date,BTC Price,BTC Max,BTC Min,BTC Vol,ETH Price,ETH Max,ETH Min,ETH Vol,XRP Price,XRP Max,XRP Min,XRP Vol,LTC Price,LTC Max,LTC Min,LTC Vol
20160126,387.17,403.901759,384.9095,18314.2004,14850.6942,2.738415,2.81999999,1.75000001,16.0424192,0.005,0.0051,0.005,1028.3662,3.05,3.19577315,3.00893946
20160127,392.070008,401.176098,384.332,19373.7163,10727.7546,2.31166222,2.85,1.96543694,289.257841,0.00588965,0.00588965,0.00522236,3226.86498,3.24341117,3.30945271,3
20160128,381.562,398.303228,374.688132,12586.8824,2925.92123,2.4,2.52995921,2.2010172,784.46525,0.00684723,0.00695199,0.00608799,812.273968,3.07963652,3.33,3.07963647
20160129,370.253902,384.77,357.590467,12041.6382,5745.90549,2.55,2.8,2.35,32.2926489,0.00655009,0.0066127,0.00576597,321.024273,3.14528164,3.18528134,3.00276043
20160130,376.09,381,368.75066,4792.39489,2068.11951,2.46901443,2.62569,2.29747213,150.384064,0.0075156,0.00785,0.0067609,111.785613,3.03902957,3.14528159,3.03902181
20160131,377.2,380.5,371.2,1398.21776,208.752277,2.40000001,2.57175269,2.38,117.235169,0.0059747,0.0075156,0.00578371,0.31592976,3.01000011,3.10816288,3.00276
20160201,364.637881,380.289999,362.6,12949.4796,2383.20334,2.11,2.5239998,2.11,1.31665511,0.00620754,0.0064721,0.00615437,8.60237988,2.98439106,3.01000217,2.98439106
20160202,376,380.099999,360.5,10052.9966,4133.81364,2.11100001,2.28638596,2.11,36.0873654,0.00647223,0.0066968,0.00530001,0.02490887,2.9880689,2.9880689,2.9880689
20160203,368.709611,377.065361,351.888196,10802.1872,12697.1061,2.2447959,2.485,2.111,2.00360239,0.00698897,0.00698897,0.00698493,329.59677,2.96023293,3.09861662,2.956682
20160204,371,373,358.51,8203.81244,7813.07361,2.56999999,2.5801174,2.35,1.78214427,0.00667654,0.00691408,0.00661054,9.3007753,3.098,3.098,2.97424675
20160205,389,391.981,365,17649.2095,10731.0515,2.49,2.5989999,2.39,5.58792096,0.00729425,0.00729425,0.00658162,35.7762408,3.16,3.16,3
20160206,373.2,397.975116,373.2,29174.2349,1772.0799,2.482,2.5989998,2.482,0.18859227,0.0079,0.0079,0.00789998,19.1776048,3.10000163,3.17828167,3.10000101
20160207,378.499999,379.999999,371,4006.09444,116.119493,2.44867399,2.59999999,2.42000001,229.938883,0.00897709,0.00899,0.0079,0,3.10000163,0,0
20160208,374.86501,381.674193,368.999998,16975.0704,5323.67888,2.89180392,3.125,2.4499998,64.9576847,0.00764449,0.00908559,0.00764449,0.11174792,3.01941587,3.01941587,3.01941587
20160209,374.159999,376.730008,369.099999,6944.10089,4033.44345,3.475,3.4768582,2.89180467,799.488939,0.00809995,0.09999661,0.00737619,87.9295184,3.02168042,3.16782815,2.98686631
20160210,378.457098,383.739652,370.358899,32676.0031,16700.5844,4.87999999,4.88,3.27500003,1276.04333,0.00819079,0.00819079,0.00736078,116.289456,2.92259752,3.06669456,2.92259752
20160211,381.999999,385,364.1,24191.3307,36330.8619,4.33508536,4.87999999,3.2,3542.67956,0.00805,0.00805,0.00735923,116.795367,2.94142223,3.11931841,2.93711047
20160212,353.516956,388.254,320,41546.5659,66293.0267,5.2,6.99999998,3.85000389,1040.46848,0.00722687,0.00819079,0.00638888,431.362733,2.88846412,3.10001622,2.641001
20160213,389.99,415.018696,320,55099.8171,49793.6761,5.19999998,6.5,4.00014537,1371.31056,0.00826757,0.00828735,0.00638565,2621.70887,2.95863031,3.39807056,1.642982
20160214,400.75,400.999999,380.311352,38542.0831,22577.7734,4.80821402,5.5,4.1333495,1206.82596,0.0087,0.00892,0.00766046,298.413163,3.18,3.18819997,2.96000002
20160215,407.639999,408.7,396,27541.9418,15835.5746,5.7,5.88575097,4.60000006,385.190801,0.00875199,0.00899056,0.0082017,577.468292,3.18499991,3.18499991,3.02910112
20160216,407.998999,409.05,397.59,34599.1389,16172.86,5.22955665,5.8899,5.00000034,505.21498,0.008334,0.0087496,0.00821153,389.855745,3.19,3.29999995,3.030012
20160217,412.999999,414,399.55,35525.4602,19978.4055,3.82727273,5.22955665,3.82727273,154.728553,0.00732745,0.00863526,0.00732745,268.345755,3.12835821,3.2599,3.09000001
20160218,420.000005,426,408,48215.7542,14604.1526,4.08048537,4.29997999,3.36,3711.36592,0.00742077,0.00827241,0.00742077,9.89123224,3.14283583,3.28753279,3.12835821
20160219,416,424.8,411.5,28854.6153,12947.3984,4.71322567,4.97333333,4.00000075,2279.79075,0.00846372,0.00848221,0.00742077,116.678976,3.24919994,3.49999778,3.16619566
20160220,422.179998,422.18,416.001,10768.1001,4249.47123,4.4,4.68999999,4.20000001,10.9806224,0.00797524,0.00847889,0.00797524,8.63020327,3.18835852,3.24929994,3.18283585
