BTC,BTCVOL,LTC,LTCVOL,ETH,ETHVOL,,
3458.949478,1707.510145,47.27023,3090.007461,303.0008082,9679.757152,,
3424.001608,399.7663466,47.110182,2715.743672,300.4260088,2264.618752,,
3419.184328,266.5351722,46.931648,2365.359081,301.317449,2048.737643,,
3412.183727,519.023838,46.652147,4762.294855,300.4638239,5251.893865,,
3404.707021,538.8166972,46.562644,1274.717537,296.0139809,4174.458923,,
3402.054208,916.9123749,46.362536,19893.85944,296.8555931,6004.363907,,
3418.246842,658.7754343,47.075734,12464.60982,298.4413387,6017.045971,,
3411.131882,1126.878233,47.771223,4142.276316,301.8877923,6720.211413,,
3410.572437,1546.872909,47.414757,2399.889343,303.9810348,4354.305717,,
3399.594883,1206.594775,47.421712,3475.386744,300.9538798,6528.415365,,
3413.51776,965.4680308,47.550745,2220.925786,303.369311,8744.911196,,
3401.499307,840.094508,47.779663,3470.785908,304.2695249,8782.63497,,
3416.94477,511.625749,47.930093,3787.330523,306.3947357,5450.274107,,
3433.915285,606.7183695,47.988684,4367.54627,308.2041903,6131.465571,,
3439.232487,780.6719212,48.49155,2414.288948,307.7989395,8073.848273,,
3426.897423,1489.297706,48.328897,5285.401053,305.4165943,5871.232217,,
3395.693082,596.1648326,47.983634,2537.203404,305.0848116,4561.704407,,
3386.6874,633.8272274,47.824065,2325.126807,305.296844,9542.801407,,
3402.75192,815.0245005,47.950455,1875.943248,302.3017529,7273.001688,,
3393.258639,940.4615992,48.002753,5481.451507,300.3317419,5110.874422,,
3409.828538,1515.273148,48.155434,3598.001008,300.3958211,5486.915613,,
3387.187161,768.0297834,47.91699,2373.362683,298.9835499,7698.676476,,
3381.088416,1139.070877,47.784253,1417.874044,297.9657595,11974.23838,,
3360.038336,503.7238768,47.315622,1702.137348,296.4611253,3456.391422,,
3342.209284,506.8981441,47.460918,662.452478,295.8138943,4698.557507,,
3329.16473,354.8400428,47.455289,1295.800237,293.5369362,3385.767154,,
3320.466429,472.1129658,47.315366,1947.62701,291.6193136,7471.731984,,
3336.999225,407.8108234,47.437112,2052.92834,291.0082654,9372.627642,,
3344.455131,473.5603374,47.776663,1726.153065,295.9539902,2333.689593,,
3336.719374,267.8608441,47.685573,659.308125,295.7455095,6758.537156,,
3329.833256,801.7273778,47.565779,722.612523,295.543121,9885.258659,,
3318.877498,980.9712916,47.802321,2516.369112,297.5651203,17011.68239,,
3353.925744,518.4709413,48.152078,5353.945765,300.1180792,4473.31368,,
3353.952175,1361.19794,48.037238,3370.008946,300.0426095,12061.08922,,
3328.980621,551.444907,47.690458,1053.33766,294.314799,3514.009209,,
3319.722945,365.3853884,47.858573,2767.93384,294.7575897,6900.573824,,
3312.817746,722.343084,47.898137,3800.443704,291.7420529,9451.15446,,
3291.236257,790.7143497,47.561403,2108.070034,285.7465759,13930.32053,,
3274.783974,1193.56767,47.274269,4575.028806,287.2560794,22067.37719,,
3259.862575,1890.517374,47.433598,18162.33651,283.4016786,46705.80731,,
3298.882613,658.0811439,48.533364,4372.091777,293.1287521,6957.120887,,
3313.383524,986.086234,48.039957,3056.565511,294.7946268,7737.588342,,
3297.444785,1918.660211,48.13379,5652.805279,294.6459018,27921.78347,,
3304.055926,4479.100317,48.148109,25351.88148,287.0856289,46139.25112,,
3365.645191,1108.753329,49.848351,16322.18177,294.9234212,20473.3426,,
3394.343782,702.1737243,49.199507,2187.383493,302.8597608,4316.853797,,
3392.489539,804.8239455,48.949528,7405.755656,302.4003539,19917.78857,,
3387.674316,546.9599127,49.548798,9993.612762,309.1858502,9992.995056,,
3370.196157,995.8361248,49.056577,11140.58228,308.1532282,12325.45864,,
3375.003744,700.9848495,48.023678,2648.152151,313.1005184,8486.396983,,
3389.601877,617.5654845,48.507326,8202.217453,311.4483478,13434.1762,,
3367.191066,1158.458021,48.06867,12116.66854,310.2871755,28665.03878,,
3387.016071,1119.5257,48.3127,6650.394405,305.5743953,40388.48175,,
3401.690644,1286.349951,48.785349,25545.35412,298.4561038,8791.304833,,
3430.022087,783.4281082,49.155386,29991.3735,294.8414647,5989.110012,,
3433.085227,899.804372,48.578751,31443.59859,295.7112122,7436.20182,,
3417.56784,1144.528999,47.652619,25910.85808,297.8639042,19506.79378,,
3444.353368,1415.3829,46.668407,8805.434178,294.2604318,15111.03073,,
3423.63721,3172.013106,46.22532,4618.421449,289.7465908,12976.94469,,
3373.438176,1193.329151,46.1103,3191.146321,286.7644155,6169.036291,,
3383.533729,1069.343763,46.250719,2075.551178,285.7759731,7592.893408,,
3356.47682,1978.922496,46.257102,17481.45429,286.0730139,13118.05496,,
3394.368296,825.4467157,46.014203,4234.022,288.1074817,10806.46015,,
3380.828598,1191.287942,45.971874,7940.472832,284.8973937,7572.095784,,
3386.890245,2349.492145,45.791018,6315.438123,284.5417722,18165.18166,,
3446.326117,859.3507399,45.928646,1584.748396,281.738865,13274.60258,,
3427.973848,966.981522,45.811736,8607.147729,277.9654681,7640.380502,,
3423.630897,1183.33911,45.894785,2145.373741,276.9092359,7581.635611,,
3436.998157,1476.607085,46.181155,9199.568988,274.7043013,10412.57951,,
3473.309977,2326.917422,46.202891,3514.687763,273.1050213,3830.203557,,
3440.379333,952.4696869,46.234557,1115.594603,271.3889393,1594.105033,,
3429.672273,864.9581142,46.021712,20238.61017,270.67516,2954.00146,,
