BPRICE,BMAX,BMIN,BVOL,EPRICE,EMAX,EMIN,EVOL,XPRICE,XMAX,XMIN,XCOL,LPRICE,LMAX,LMIN,LVOL
423,425.9,420.3,"21,656.20","17,516.80",10.3,11,10.1,379.4,0,0,0,69.2,3.2,3.3,3.2
420.1,425.9,420.1,"41,874.70","11,046.90",10.8,11,10.3,112.3,0,0,0,194.7,3.2,3.3,3.2
424.5,424.7,420.1,"14,780.20","22,411.40",10,10.7,9.9,559.4,0,0,0,529.8,3.2,3.3,3.2
420,426.7,414.9,"64,594.80","28,028.10",10,10.1,9.6,561.2,0,0,0,121,3.2,3.3,3.2
416.1,423,414.1,"54,595.00","53,724.10",8.9,10,8.6,47.2,0,0,0,237.3,3.2,3.3,3.2
419.6,425,416,"82,899.00","64,370.90",8.6,9,7.3,428.6,0,0,0,709.1,3.3,3.3,3.2
426.3,428.2,419.6,"29,223.00","22,033.00",8,8.7,8,44.7,0,0,0,477.1,3.3,3.3,3.2
424,430,422.5,"55,412.10","34,215.70",7.5,8.3,7.1,"1,770.90",0,0,0,749.1,3.3,3.3,3.2
424.6,429,423.2,"36,507.40","25,152.00",8.8,8.8,7.4,45,0,0,0,261.8,3.3,3.4,3.2
426.4,428.9,423.5,"28,928.60","23,182.90",8.6,8.8,8.2,173.5,0,0,0,217.1,3.3,3.4,3.2
434,437.3,426.4,"27,834.10","15,449.70",8.2,8.7,8.2,10.3,0,0,0,99.7,3.3,3.3,3.2
431,436.7,430.8,"31,310.20","24,954.50",8.9,9.4,8.2,59.5,0,0,0,655.7,3.3,3.4,3.2
428.8,438.8,426,"77,215.90","26,122.00",9.2,9.8,8.9,154.5,0,0,0,"1,269.90",3.3,3.3,3.2
429.6,432.8,427.3,"29,742.60","29,004.50",9.3,9.5,8.5,64.9,0,0,0,236.6,3.2,3.3,3.2
437.9,442.8,429.3,"40,280.90","47,909.20",8.7,9.3,8.6,558.1,0,0,0,"1,068.30",3.3,3.4,3.2
442,448.5,437.5,"42,068.00","12,492.60",8.7,9.4,8.4,425.2,0,0,0,"2,607.20",3.3,3.3,3.3
445.7,459.2,442,"82,519.60","37,949.70",8.3,8.8,8.1,72.6,0,0,0,"1,449.20",3.3,3.4,3.3
451.1,455,445.7,"47,579.60","20,343.90",8,8.4,7.8,19.7,0,0,0,104.3,3.4,3.4,3.3
454.3,460.5,446.6,"26,546.80","17,973.60",8.2,8.7,7.8,64.1,0,0,0,"3,268.30",3.5,3.5,3.3
461.6,465,451,"26,111.00","15,898.00",8,8.5,8,9.3,0,0,0,"2,514.20",3.6,3.9,3.4
468.1,474.1,456.6,"58,375.70","52,413.90",7.3,8.1,7.2,79.7,0,0,0,"7,926.20",4,4.5,3.5
466,472.1,463.2,"51,678.40","23,679.00",7.5,7.6,7.1,48.5,0,0,0,"4,654.70",4.4,4.7,3.9
441,468,421.9,"121,943.80","34,210.40",7.4,8,7.3,204.8,0,0,0,"12,336.40",3.8,4.3,3.7
446,451.9,437.1,"37,111.10","27,805.60",7.6,7.7,7.2,1.9,0,0,0,"8,542.60",3.8,3.9,3.3
455.5,484.5,445,"36,506.20","9,545.70",7.7,7.8,7.4,3.5,0,0,0,"3,125.50",3.7,3.9,3.7
444.2,456.5,440,"42,454.60","75,028.80",8.7,9.4,7.7,0.2,0,0,0,"3,975.90",3.8,3.8,3.6
446,455.2,443.6,"24,697.40","13,055.70",9.2,9.2,8.4,"1,350.20",0,0,0,190.1,3.7,3.8,3.7
446.9,449.5,425.9,"75,376.60","76,845.30",9.7,10.3,9.2,137,0,0,0,"1,971.90",3.7,3.7,3.6
450.8,450.9,443,"16,879.30","13,040.10",9.6,9.9,9.3,34.5,0,0,0,"1,185.70",3.8,3.8,3.7
449.9,450.1,444.2,"8,198.40","16,814.90",9.6,10,9.4,"1,021.90",0,0,0,820.1,3.7,3.8,3.7
449,451.9,444.5,"22,888.60","22,778.50",9.8,10,9.4,"1,540.50",0,0,0,"5,600.50",3.7,3.8,3.7
460,463,448.4,"38,842.10","23,761.20",9.4,9.9,9,15.5,0,0,0,"1,128.50",3.9,3.9,3.7
463,463,455.3,"18,963.90","20,610.50",9,9.5,9,25.1,0,0,0,"1,370.50",4,4,3.9
460.8,462.7,455.4,"8,396.50","10,522.20",9.7,9.7,9,5.6,0,0,0,"1,273.90",3.9,4,3.9
460.5,465.1,456.1,"15,173.30","9,284.60",9.4,9.6,9.2,13.1,0,0,0,"4,405.40",4.1,4.2,3.9
453.5,460.6,449.5,"25,400.20","16,583.90",9.6,9.6,9.3,51.1,0,0,0,"4,268.50",3.9,4.1,3.7
449,455.7,448.3,"31,405.60","29,963.10",10.1,10.1,9.5,392,0,0,0,"2,082.90",3.8,3.9,3.8
450.9,455,448.1,"14,305.90","21,855.60",11,11,9.9,"3,554.10",0,0,0,125.4,3.9,3.9,3.8
457,458,450,"32,522.20","33,934.90",9.8,11,9.8,"1,569.80",0,0,0,"2,369.20",4,4,3.8
457,458.5,453.6,"13,099.20","10,933.70",10.1,10.4,9.8,10.8,0,0,0,157.3,4,4,4
459,463,455.6,"29,365.90","31,858.60",10.2,10.4,9.9,11,0,0,0,780.5,4.1,4.1,3.9
457.3,462,450.9,"45,452.90","38,750.80",11.6,11.6,10.1,35.6,0,0,0,"1,500.60",4,4.2,4
450.1,458,448.3,"36,204.50","55,849.10",12.9,12.9,11.6,44.5,0,0,0,313.6,4,4,3.9
446.8,456.7,443.8,"74,564.00","83,041.00",13.7,14,12.5,145.8,0,0,0,"2,685.10",4,4.1,3.9
430,453.7,430,"120,676.20","108,241.20",14.4,14.8,13.5,"4,753.30",0,0,0,"2,030.20",3.8,4,3.7
436.2,444.4,420,"80,311.10","73,586.60",13.5,14.7,12.6,493.7,0,0,0,980.6,3.8,3.9,3.7
437.6,440,418.2,"26,621.80","15,911.00",13.8,14,13.1,6.1,0,0,0,551.7,4,4,3.8
432.8,450,420,"56,444.40","46,863.90",14.2,14.3,13,"2,074.90",0,0,0,866.1,3.9,4,3.8
443.9,445,431.8,"25,603.20","37,335.40",13.5,14.3,13.2,231.7,0,0,0,169.2,4,4,3.9
449,450,441.5,"48,566.30","57,669.70",12.5,13.5,11.9,231,0,0,0,704.8,4,4,3.9
452.1,453.4,444,"19,700.60","23,273.40",12.4,12.9,11.7,304.2,0,0,0,426.3,4.1,4.1,4
473,474.2,445.1,"115,626.60","41,897.70",11.6,12.5,10.6,"1,545.30",0,0,0,"6,143.70",4.3,4.5,4
493,508,460,"184,279.10","71,445.80",10.9,11.7,10.1,333.6,0,0,0,"11,121.70",4.5,4.7,4.2
511,522,461,"346,066.80","107,540.20",11.8,12.3,10.6,330.3,0,0,0,"8,573.10",4.5,4.6,4
530,551,509.6,"290,155.40","81,120.00",12.4,12.5,11.7,"2,349.70",0,0,0,"8,647.20",4.5,4.7,4.3
539,542.4,524,"150,980.20","46,091.40",12.6,12.8,12.2,"4,093.50",0,0,0,"2,291.70",4.6,4.7,4.5
529.9,549,510.5,"274,330.20","148,811.80",13.9,14.3,12.6,937,0,0,0,"3,501.30",4.6,4.7,4.5
536,542,522.1,"167,248.30","70,882.40",13.8,14,13.3,239.4,0,0,0,"1,362.50",4.7,4.8,4.6
538,539.8,531.8,"60,231.00","30,179.70",13.8,14,13.7,840.6,0,0,0,772.8,4.7,4.7,4.7
584.5,585,538,"315,809.80","75,759.50",13.8,13.9,13.4,221,0,0,0,"5,565.90",4.9,4.9,4.7
579,592.2,560,"235,417.20","59,637.60",13.8,14,13.5,825.8,0,0,0,"16,295.00",4.8,5,4.7
580.7,583.9,570,"97,018.00","29,721.40",13.7,14,13.7,431.5,0,0,0,"1,937.40",4.9,5,4.8
583,587.6,580,"96,108.40","15,905.50",13.9,14,13.7,"5,865.20",0,0,0,"1,389.30",4.9,5,4.9
576.9,589,560.1,"149,334.50","74,989.60",14.5,14.8,13.9,"11,243.30",0,0,0,"2,611.90",4.8,4.9,4.7
582,583.1,572.9,"41,823.90","55,230.60",14.5,14.7,14.1,600.9,0,0,0,"1,389.30",4.8,4.8,4.7
577.3,582,567.6,"54,695.50","49,670.90",14.2,14.6,14.1,289.5,0,0,0,"4,084.10",4.8,4.8,4.7
618,627,581.1,"198,505.40","103,166.70",14.1,14.4,13.8,567.6,0,0,0,"5,009.50",5.2,5.3,4.9
682.1,695,616,"493,544.20","262,302.00",16.4,16.4,14.1,"10,026.30",0,0,0,"22,144.60",5.4,5.4,5
685.7,700.6,670,"780,298.00","533,088.60",18,18.9,16,"29,217.20",0,0,0,"21,970.50",5.2,5.4,5.1
668,688.7,585,"950,920.40","499,252.20",18,18.9,15.1,"44,620.60",0,0,0,"12,176.50",5.1,5.2,4.5
738,740,662.3,"687,977.10","439,214.30",19.6,19.7,17.2,"9,898.00",0,0,0,"12,031.80",5.4,5.4,5
743,774.8,703.9,"1,269,048.70","1,169,913.30",19.4,21.4,18.9,"31,313.30",0,0,0,"68,900.60",5.4,6,5.2
739.4,771,687,"1,939,840.00","1,929,786.80",12.9,19.4,12.5,"9,116.60",0,0,0,"24,339.70",5.5,5.9,5.1
751.5,788.9,705,"1,617,879.60","1,624,023.00",12.8,14.1,7.1,"4,606.60",0,0,0,"25,804.40",5.6,5.8,5.3
